"category","clothing_type","price","discount","shop_outlet","delivery_date","order_date","revenue","customer_name","customer_email"
men,accessories,60.62,49.47,Jetwire,2024-02-06,2022-01-01,5521.65,Demetra Stutely,dstutely1@wired.com
women,accessories,116.46,28.74,Zoomlounge,2024-12-17,2024-01-29,2009.40,Cesya Boustead,cboustead4@nps.gov
men,pants,154.12,15.71,Shufflebeat,2023-03-24,2022-01-03,4343.05,Rollo Beiderbecke,rbeiderbecke5@upenn.edu
women,shirts,197.72,4.93,Gigaclub,2024-03-28,2022-03-17,3365.54,Anna-maria Milliere,amilliere6@weibo.com
children,pants,76.62,8.44,Tazz,2025-03-01,2024-07-17,1906.10,Leeann Dossett,ldossett7@omniture.com
women,pants,139.80,6.76,Mycat,2024-08-07,2022-10-01,3735.92,Idalina Klimas,iklimas8@wiley.com
men,accessories,62.52,26.63,Feedbug,2023-05-10,2022-11-14,7900.39,Charmaine Swatridge,cswatridgea@mozilla.org
women,shoes,185.96,0.90,Skimia,2025-01-31,2023-02-16,1971.21,Palmer Hoggin,phogginb@cpanel.net
women,shoes,56.09,12.11,Eare,2024-11-30,2022-04-18,4574.48,Kerrin Dickons,kdickonsd@cyberchimps.com
women,accessories,189.63,44.66,Oba,2022-10-15,2022-04-23,9455.11,Crystal Fulleylove,cfulleyloveh@creativecommons.org
children,accessories,21.91,45.58,Tavu,2023-02-09,2022-01-22,8728.01,Bonnie Halfhead,bhalfheadm@google.it
children,shoes,108.70,40.46,Babbleopia,2024-08-03,2022-10-10,3004.62,Corey Robus,crobusn@army.mil
children,accessories,49.77,24.83,Teklist,2025-03-27,2024-06-09,9139.56,Elwira Duckett,educkettr@wikispaces.com
women,shoes,173.52,49.76,Topicstorm,2023-10-02,2023-08-20,4265.66,Valaree Denizet,vdenizetx@fastcompany.com
men,pants,124.09,49.51,Kare,2024-06-23,2024-01-19,5735.45,Elwira Kirman,ekirmany@elpais.com
men,shoes,56.17,22.99,Skippad,2024-12-22,2022-01-14,2606.06,Earlie Haskett,ehaskett11@jalbum.net
women,accessories,127.61,7.94,Flashpoint,2024-02-04,2023-10-08,5366.63,Ardelis Hardesty,ahardesty12@sourceforge.net
children,dresses,23.18,13.70,Dynazzy,2022-10-05,2022-09-16,8873.50,Gibby Jachimczak,gjachimczak13@google.cn
children,accessories,96.72,19.00,Jatri,2023-10-20,2022-03-08,4256.99,Judas Hunstone,jhunstone16@free.fr
children,accessories,47.06,47.40,Dynava,2025-02-21,2023-11-04,249.27,Anderea Demchen,ademchen17@weibo.com
men,shoes,124.25,14.35,Mydeo,2025-02-19,2022-04-08,2816.04,Irma O' Mullan,io19@chicagotribune.com
children,pants,79.46,25.46,Dabshots,2024-04-16,2023-10-12,6326.67,Leonardo Wycherley,lwycherley1a@creativecommons.org
men,shirts,171.90,43.21,Rhynyx,2023-04-03,2023-02-06,6206.91,Bram Peery,bpeery1c@latimes.com
women,shoes,116.71,10.13,Jayo,2022-05-06,2022-03-02,9721.78,Kassey Smidmore,ksmidmore1d@webeden.co.uk
women,pants,55.84,32.74,Kwinu,2025-01-07,2024-04-15,6243.83,Floris Di Dello,fdi1f@dropbox.com
children,accessories,177.92,10.34,Avamba,2022-09-28,2022-02-26,1737.56,Cozmo Kibel,ckibel1g@networksolutions.com
men,accessories,197.91,28.39,Oodoo,2023-05-24,2022-09-29,6247.29,Sterne Coppenhall,scoppenhall1j@google.com.au
children,pants,30.11,45.31,Devbug,2025-02-12,2022-05-07,5992.37,Reamonn Sloane,rsloane1k@archive.org
men,pants,43.21,16.35,Edgeify,2024-09-07,2024-05-21,3227.99,Leeann Thickens,lthickens1l@umich.edu
children,shoes,140.17,2.24,Vipe,2024-03-26,2023-05-27,4191.40,Justinian Renol,jrenol1n@elpais.com
men,shirts,52.49,41.69,Bubblebox,2025-03-08,2024-10-13,9262.05,Thoma Durker,tdurker1p@furl.net
children,pants,103.56,13.67,Demizz,2024-11-21,2023-10-14,3975.70,Cynthy Wolverson,cwolverson1r@domainmarket.com
women,accessories,123.34,43.74,Abatz,2024-05-19,2022-05-29,9064.04,Hans Heighway,hheighway1s@elegantthemes.com
children,dresses,33.20,12.65,Tazzy,2025-02-24,2022-10-02,4624.02,Agretha Pautard,apautard1t@drupal.org
men,accessories,113.84,6.15,Photobug,2023-08-06,2022-06-20,1102.01,Alfy Piborn,apiborn0@squarespace.com
men,pants,103.35,30.41,Snaptags,2024-06-26,2024-06-24,1664.57,Carny Jessup,cjessup1u@accuweather.com
children,shoes,65.31,12.95,Snaptags,2025-02-25,2023-01-21,6390.18,Casi Jina,cjina1z@narod.ru
women,shirts,152.36,8.70,Eare,2023-10-23,2023-04-26,6124.97,Gabe Shekle,gshekle20@bandcamp.com
children,dresses,137.54,15.41,Mynte,2024-07-01,2023-10-27,6024.69,Birgitta Tawn,btawn21@mediafire.com
women,dresses,135.47,46.92,Divanoodle,2024-11-29,2023-06-06,1791.27,Mitchel Ogles,mogles25@adobe.com
children,pants,58.18,37.07,Browsebug,2024-07-11,2022-12-10,1544.61,Aguie Janatka,ajanatka27@biblegateway.com
men,pants,186.16,49.88,Photospace,2023-02-04,2022-11-27,401.40,Terri Gritten,tgritten29@google.cn
men,shoes,92.88,20.90,Browsebug,2024-01-14,2022-12-05,1362.82,Leesa Tribe,ltribe2a@oaic.gov.au
women,shoes,120.13,5.17,Tagopia,2024-08-01,2022-04-01,9520.43,Ricky Jeandon,rjeandon2b@baidu.com
men,pants,13.42,12.69,Oodoo,2023-06-01,2022-09-23,1448.99,Prissie Turtle,pturtle2d@chronoengine.com
women,accessories,164.54,43.74,Trilith,2025-03-09,2023-04-25,9993.83,Shaughn Greenwood,sgreenwood2f@theatlantic.com
children,shoes,72.03,11.79,Voomm,2023-04-26,2023-01-05,2900.08,Magdaia Allcock,mallcock2g@slideshare.net
women,accessories,177.08,21.70,Yoveo,2023-08-21,2022-01-28,8709.00,Otho Yarr,oyarr2h@baidu.com
men,dresses,134.15,7.57,Brightbean,2023-05-17,2022-12-20,366.35,Sunny Veness,sveness2m@foxnews.com
children,shoes,108.38,5.82,Rhybox,2024-08-31,2023-01-01,5215.14,Vinni Rasch,vrasch2n@wunderground.com
men,shirts,188.96,17.87,Skimia,2023-11-23,2022-04-14,4898.09,Hazel Pinching,hpinching2o@si.edu
women,shirts,169.94,10.59,Dynabox,2024-04-27,2022-07-15,7064.56,Cordelie Caitlin,ccaitlin2r@thetimes.co.uk
children,shirts,119.19,41.14,Edgewire,2022-11-14,2022-06-03,7252.86,Giselle Ruegg,gruegg2@weebly.com
men,shoes,43.19,12.50,Twitterbridge,2024-08-01,2022-11-19,4866.12,Sven Loughlin,sloughlin3@surveymonkey.com
men,accessories,137.37,13.81,Zoomdog,2023-06-01,2022-05-17,6348.41,Dorothy Alfonsini,dalfonsini9@youtu.be
men,pants,41.56,19.18,Thoughtstorm,2022-12-26,2022-04-26,6860.26,Jeffry Cuff,jcuffc@scribd.com
children,shoes,93.37,20.07,Midel,2024-02-24,2022-09-26,9793.02,Laughton Menendez,lmenendeze@kickstarter.com
children,dresses,78.27,0.49,Feedbug,2023-05-12,2022-12-18,6874.89,Corrina Greensted,cgreenstedf@salon.com
men,shoes,56.50,24.58,Ntags,2023-03-11,2023-03-07,5003.36,Bel Oluwatoyin,boluwatoying@bbb.org
children,dresses,93.89,11.03,Teklist,2023-11-29,2022-06-26,579.59,Chaunce Sporrij,csporriji@360.cn
children,shirts,125.06,29.45,Jaxspan,2023-03-27,2022-03-02,5026.23,Kalila Charopen,kcharopenj@sakura.ne.jp
women,dresses,157.63,45.62,Twinte,2025-03-12,2023-11-12,2966.23,Tymothy Sexton,tsextonk@barnesandnoble.com
women,dresses,183.49,25.14,Youspan,2023-11-22,2022-07-01,8723.35,Cord Hoodspeth,choodspethl@state.gov
men,dresses,131.43,22.42,Yodo,2023-10-16,2022-04-19,7457.31,Levin Lubbock,llubbocko@marketwatch.com
children,pants,68.31,7.59,Divavu,2025-03-24,2022-06-11,3959.59,Jeno Leonard,jleonardp@bloomberg.com
women,accessories,161.26,44.20,Eadel,2024-07-12,2022-09-22,9163.15,Obadias Rathmell,orathmellq@photobucket.com
men,accessories,194.37,31.86,Yamia,2023-06-22,2023-02-20,5171.80,Brod Sugarman,bsugarmans@ifeng.com
children,shoes,53.80,24.16,Realcube,2023-01-05,2022-04-19,5798.22,Tandie Frances,tfrancest@fc2.com
women,shirts,69.60,13.51,Skyvu,2024-10-31,2022-04-28,2647.25,Devon Niese,dnieseu@qq.com
women,dresses,111.95,36.99,Flipstorm,2023-09-08,2022-02-24,5255.26,Pyotr Lemanu,plemanuv@prlog.org
men,dresses,64.63,4.64,Tazz,2025-03-08,2022-11-23,1477.89,Serge Linger,slingerw@usgs.gov
men,pants,155.10,20.53,Brightdog,2023-06-07,2022-06-24,8435.52,Myriam Itzchaky,mitzchakyz@vistaprint.com
children,dresses,136.31,37.45,Vidoo,2023-10-25,2022-08-02,1894.25,Daryn Spellard,dspellard10@ebay.co.uk
men,shoes,66.46,35.41,Trunyx,2024-03-10,2022-02-25,2344.62,King Drysdall,kdrysdall14@taobao.com
children,shirts,73.10,31.72,Yakitri,2024-02-26,2023-03-26,1638.59,Julia Durnin,jdurnin15@usa.gov
women,shoes,93.04,29.60,Mymm,2023-01-23,2022-07-28,8341.79,Shirley Denge,sdenge18@admin.ch
children,shoes,24.73,40.91,Brightbean,2024-05-10,2022-05-09,9926.56,Brennen Lambirth,blambirth1b@amazonaws.com
women,shoes,47.21,40.54,Trupe,2023-04-23,2022-08-18,8999.59,Jere Headley,jheadley1e@devhub.com
women,dresses,173.35,3.04,Skalith,2023-11-17,2022-08-21,2302.05,Jacynth Brozek,jbrozek1h@ow.ly
men,pants,122.00,30.15,Pixonyx,2023-04-13,2022-10-22,2836.33,Dehlia Haggus,dhaggus1i@ning.com
children,shoes,187.42,30.81,Yombu,2022-09-02,2022-03-01,1639.94,Rickie Giraldez,rgiraldez1m@cpanel.net
children,pants,102.98,0.94,Wordify,2023-09-08,2022-03-25,9096.07,Karna Dadswell,kdadswell1v@youtu.be
men,pants,62.48,30.43,Podcat,2024-08-19,2023-08-10,3509.29,Tirrell Vanelli,tvanelli1w@whitehouse.gov
men,shirts,141.09,12.18,Wikido,2024-12-23,2024-06-03,2284.11,Terrell Pybworth,tpybworth1x@123-reg.co.uk
women,pants,145.01,34.90,Livetube,2024-11-03,2022-11-23,9780.81,Ursola Petrishchev,upetrishchev1y@epa.gov
men,dresses,177.53,11.33,Topicstorm,2024-10-02,2022-05-24,9308.51,Ad Nutbeem,anutbeem1o@ustream.tv
men,shirts,73.88,37.34,Meevee,2023-04-16,2023-03-07,6496.66,Shane Reis,sreis1q@gov.uk
men,accessories,32.45,18.54,Twitterwire,2024-05-04,2023-08-01,5126.73,Gray Sunman,gsunman22@indiatimes.com
children,shoes,169.91,25.87,Jaxspan,2024-03-26,2022-09-30,3098.87,Katharine Scoggan,kscoggan23@netscape.com
children,accessories,12.57,4.30,Yodo,2023-10-06,2022-07-09,9244.44,Alberik Congreave,acongreave24@deliciousdays.com
women,shirts,102.82,38.32,Brightbean,2023-02-10,2022-03-09,2685.31,Marlin Crittal,mcrittal26@nasa.gov
men,dresses,188.39,47.28,Latz,2023-09-12,2022-04-05,4181.68,Vassily Conring,vconring28@walmart.com
women,accessories,48.35,31.69,Oyonder,2023-06-15,2023-05-27,8603.05,Antin Walicki,awalicki2c@vkontakte.ru
women,shirts,77.72,6.50,Meedoo,2024-06-11,2022-05-18,776.29,Danie Zupa,dzupa2e@shop-pro.jp
children,dresses,42.69,28.85,Eadel,2024-01-14,2023-07-09,754.06,Rora Whordley,rwhordley2i@drupal.org
men,dresses,199.74,16.80,Innotype,2023-09-19,2023-05-10,1055.81,Isa Wainwright,iwainwright2j@bing.com
children,shirts,109.16,10.66,Fivebridge,2024-09-13,2023-02-04,9746.98,Salvatore Dommersen,sdommersen2k@biblegateway.com
women,dresses,112.58,4.96,Linklinks,2023-06-11,2023-01-06,1672.06,Rollie Hallibone,rhallibone2l@home.pl
women,accessories,11.88,38.74,Kimia,2023-06-15,2022-03-13,3527.45,Rancell Cristofari,rcristofari2p@fda.gov
children,shoes,141.65,35.04,Flipbug,2025-01-11,2022-03-13,2663.98,Beulah Pawfoot,bpawfoot2q@amazon.de
